code_bcm,name,status
2513610,Namohora Iaborano,introuvable
5317050,Naninora,introuvable
3107152,Niarovana caroline,introuvable
3107132,Nierenana,introuvable
ND,Non disponible,introuvable
5104090,Nosy Ambositra,introuvable
51501,NOSY BORAHA,introuvable
2307010,Nosy Varika,introuvable
4210550,Pont Sofia,introuvable
1305216,Rambolamasoandro,introuvable
2522051,Ranotsara Atsimo,introuvable
2421030,Ranotsara Avaratra,introuvable
1115031,Sabotsy Ambohitromby,introuvable
3314150,Sabotsy Anjiro,introuvable
1115150,Sabotsy Manjakavahoaka,introuvable
1210210,Sabotsy Namatoana,introuvable
1102079,Sabotsy Namehana,introuvable
2311072,Sahalanonana,introuvable
2204050,Sahamadio Fisakana,introuvable
1218270,Sahanivotry Manandona,introuvable
2203450,Sahatsiho Ambohimanjaka,introuvable
2119110,Sakay Tanamarina,introuvable
7211010,Sambava CU,introuvable
1312152,Sarobaratra Ifanja,introuvable
5410070,Serinam = Masoarivo,introuvable
2515052,Soakibany Ex-Lavaraty,introuvable
1208003,Soamalaza Mahatsinjo,introuvable
3218011,Soanierana Ivongo,introuvable
51609,SOANIERANA-IVONGO,introuvable
